 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
326,"@1_Pipster @PaulChantler @AnneBoden If it is any use HSBC have been the worst bank for complaints this week, bar Barclays and their techie problems.",BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Reputation',subcategory': 'Bad reputation',worst experience from customer,,12 Downing Street London,,{'category': 'Reputation',subcategory': 'Bad reputation'
328,@Bounce_BackLoan @PaulChantler @AnneBoden HSBC been useless so far. I have made five or six phone calls to them over the week and got precisely nowhere. Just promises that do not materialise.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
331,"@HSBC_UK How long will it take to get an answer about the bounce back loan? I applied last monday. Many thanks.
 
 Ben Turp",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Bounce back loan queries,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',awaiting,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
335,"@HSBCUKBusiness @HSBC_UK come on! I applied on Monday morning for a bounce back loan (BBLS) I am a personal customer as I bank with @MonzoBusiness, but had no reply nor any other correspondence. Whatâ€™s going on?",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,Taunton [UK],,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
336,"@EvoSupplies1 @Bounce_BackLoan Just a heads up to everyone, might be better to use ""Internet Explorer"" when completing the initial application as there are certain issues with completing the application using Chrome hence why you may not recieve the email from HSBC. Worked for us.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',advise,,Leicester,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
337,"Interesting week for HSBC in one ðŸ– unlike other banks their taking applications for BBL from personal &amp; others not just existing business bank customers, which is purely what others are approving! Downside havenâ€™t paid anyone yet so annoying everyone!! #bouncebackloan #HSBC",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
339,"@Bounce_BackLoan Client of mine received HSBC this morning. Applied tuesday AM, no contact whatsoever, but cash arrived",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,Yorkshire,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
345,@HSBC @HSBC_UK Thank you HSBC https://t.co/IPC3ctvTTH,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,Yate,,{'category': 'Reputation',subcategory': 'Good reputation'
351,"@chatsfield @Bounce_BackLoan I have never needed the bank apart from money in and out, other banks turned it around in 24 hours, why couldnâ€™t HSBC. For me itâ€™s the lack of communication thatâ€™s the issue, if they said received 2 weeks then at least you know where you stand, that is the issue for many.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
352,"#bouncebackloans #bouncebackloan #Hsbc Hsbc def seem to be working over the weekend, Applied for a BBL on Monday, no contact till Thursday email, saying that an agreement would be sent through by 'echosign', received offer email to sign this morning. Very Relieved!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
355,@flap10 @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK The @HSBCUKBusiness gods must have been listening. I have just received the agreement to sign. ðŸ¤ž for you too,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Home Yorkshire, Work UK wide",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
360,@HSBC_UK @HSBC Still awaiting #BounceBackLoans after applying on Monday. Excuse me while I just go drown in a bath full of my own stress ðŸ™„,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',awaiting,,"Borth, Wales",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
370,"@flap10 @Bounce_BackLoan It looks #HSBC is considering the big amount customers, where they will have more money from interest...",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,"London, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
372,@ClaireLYoung @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK I'm both laughing and crying at the same time ðŸ˜‚ðŸ˜­,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
373,"How many of you are happy that the @bankofengland is essentially lending our gold to HSBC to prop up its GLD ETF? Do you remember giving them a mandate to do this? 
 
 @SteveBakerHW https://t.co/XMwEK9saUc",General,,customer comment,General,,customer comment,,,,,,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
374,@flap10 @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK Yes my thoughts exactly #BounceBackLoans,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Home Yorkshire, Work UK wide",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
375,@segwaybude @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK Really bad isn't it! #BounceBackLoans @HSBCUKBusiness,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Home Yorkshire, Work UK wide",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
377,"@ClaireLYoung @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK Exactly same time as you, called, chat online, emails to HSBC, no real help, just says if you have a ref number then itâ€™s been logged. I think many customers after all this will be looking for a new business bank once a bit of normality returns.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,CHURN,,looking for a new business bank,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
378,"@ClaireLYoung @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK Glad itâ€™s not just @Barclays. I know that doesnâ€™t help you @ClaireLYoung. For argument sake, say we have received the loan and it was time to pay back: â€œDonâ€™t panic @Barclays, I canâ€™t find your money but Iâ€™m confident itâ€™s thereâ€...I wonder how that would go down? ðŸ¤”",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Panic,,"Kingston upon Thames, London",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
379,@ClaireLYoung @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK ðŸ˜‚ðŸ˜‚ good god! We are doomed,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
380,"@Bounce_BackLoan Yes @HSBCUKBusiness @HSBC_UK have been TERRIBLE for #BounceBackLoans i applied 10am Monday &amp; zero communication. I followed it up, they couldn't find my application but are confident it's there? ðŸ¤¦â€â™€ï¸ðŸ™ˆ",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,"Home Yorkshire, Work UK wide",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
387,@HSBC_UK Worked thanks,General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,Salford,,{'category': 'Reputation',subcategory': 'Good reputation'
391,"@Bounce_BackLoan HSBC, canâ€™t draw on it just appeared as new account, being worked on hopefully. I did email Amanda Murphy on Thursday having a whinge, sheâ€™s head of Comm Banking UK but no response which is piss poor.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
395,@flap10 @Bounce_BackLoan I may collect email addresses from my HSBC BB group and email them all as a collective? Could help,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
396,@Bounce_BackLoan HSBC have said they are working through the weekend to get loans out.... I hope it isnt a fairytale ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ˜¢,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
402,"@HSBC I Applied for a feeder account over the phone on Monday but I have not heard anything back from you, is that normal? Bounce back loan",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
403,Why is @HSBC_UKâ€™s customer service so awful? Discuss...,BAD REPUTATION,,bad customer service,BAD REPUTATION,,bad customer service,,,,,,{'category': 'Reputation',subcategory': 'Bad reputation',worst experience from customer (awful),,Lost,,{'category': 'Reputation',subcategory': 'Bad reputation'
408,"HSBC driving people nuts, but fair play at least they are consistent in that #BounceBackLoans #BounceBackLoan https://t.co/nZX2eLEM7M",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,BAD REPUTATION,,driving people nuts,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,12 Downing Street London,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
409,"@Bounce_BackLoan check email, check bank, check spam, repeat. 10am Monday and still nothing from HSBC, dreaming about HSBC, this is not healthyðŸ˜ž",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
412,@Bounce_BackLoan @karen_dempster @points4profit @jlpower84 @EdbentonGTS @710Ames @mg8980 @Ravijaiden @paulkendall53 @MrH50000749 @brobbinsuk @MrHemstalk14 @Artfulhenparty @Coley1818 @leanne2402 @noirink89 @benny87327068 @woodyis @Jonathanmlallen @richardpyeo @AL202046676858 @realmarcfry @natjc84 @bbarrass @BrunoHoutenfaus @JonathanWimble1 @alan_hickman @BrooksElectric1 @DanSavage14 @constantoffence @grubbyhandslani @DavisJaunzems @Pooja34247436 @aysh9t @Nermz_A @SinfullyD @helen_diamond @Willowbboutique @steveclarkuk @hairymonkeypits @Chris21224595 @Scott95480366 @jayjayuk85 @BarclaysUKHelp @BarclaysUK @Barclays @MartinSLewis @RishiSunak @BorisJohnson @DailyMailUK Still waiting for my HSBC feeder account confirmation! Applied on Monday heard nothing since!,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',awaiting,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
